City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
307,Salinopolis,BR,77.07,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
310,Haines Junction,CA,67.95,scattered clouds,60.7522,-137.5108,Parkside Inn
311,Colares,PT,80.46,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
312,Hailey,US,84.79,clear sky,43.5196,-114.3153,Wood River Inn & Suites
313,Itarema,BR,78.37,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
317,Marawi,PH,77.22,overcast clouds,7.9986,124.2928,Derogongan Residence
318,Tautira,PF,76.84,overcast clouds,-17.7333,-149.15,Pension Oaoa
319,Labuhan,ID,77.54,clear sky,-6.8844,112.2051,DoubleFAG
321,Kieta,PG,84.78,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
324,Kabanjahe,ID,65.95,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
325,San-Pedro,CI,75.6,overcast clouds,4.7485,-6.6363,Hotel Maria
326,Meulaboh,ID,77.23,heavy intensity rain,4.1363,96.1285,Kost Pria
328,Babayurt,RU,72.9,clear sky,43.6002,46.7789,Теплый дом
330,Lata,PT,66.33,clear sky,40.1629,-8.3327,Casa Maquia
331,Shimoda,JP,80.96,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
333,Laje,BR,66.61,clear sky,-10.1833,-40.9667,NN Pousada
334,Hasaki,JP,84.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
335,Marsassoum,SN,80.69,light rain,12.8275,-15.9806,Djinoubor keur Samba ba
338,Tiarei,PF,84.22,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
342,Tlanchinol,MX,66.74,few clouds,20.9833,-98.65,Hotel Victoria
348,Omboue,GA,69.53,scattered clouds,-1.5746,9.2618,Hotel Olako
349,Niksar,TR,64.89,overcast clouds,40.5917,36.9517,Nuri Park Hotel
352,Jacareacanga,BR,76.19,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
353,Pyapon,MM,76.3,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
354,Jejuri,IN,70.72,overcast clouds,18.2833,74.1667,Hotel Malhargad
356,Bruck An Der Mur,AT,60.15,overcast clouds,47.4036,15.2952,JUFA Hotel im Weitental/Bruck a. d. Mur
359,Nizwa,OM,77.32,moderate rain,22.9333,57.5333,Orient Apartments
360,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
364,Banda Aceh,ID,82.04,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
365,Manta,EC,74.98,broken clouds,-0.95,-80.7333,Balandra Hotel
366,Manzhouli,CN,67.89,clear sky,49.6,117.4333,Angala International Youth Hostel
370,Zaria,NG,71.02,moderate rain,11.1113,7.7227,A.B.U Hotels
371,Samarai,PG,82.67,broken clouds,-10.6167,150.6667,Nuli Sapi
373,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
376,Alugan,PH,84.87,scattered clouds,12.2188,125.4808,JM Lodge
380,Faya,SA,64.51,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
383,Cabul-An,PH,82.49,broken clouds,10.15,124.05,Pandanon floating cottage
384,Ahipara,NZ,63.19,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
385,Poso,ID,76.23,light rain,-1.3959,120.7524,Hotel 77 Poso
386,Dingle,PH,81.99,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
387,Soe,ID,66.15,overcast clouds,-9.8607,124.284,Dena Hotel
391,Salinas,US,79.41,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
392,Kochetok,UA,67.5,overcast clouds,49.8801,36.7372,"ДОЛ ""Полёт"""
393,Saint Anthony,US,80.92,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
395,Shellbrook,CA,76.23,clear sky,53.2168,-106.4011,Shellbrook Hotel
396,Iracoubo,GF,76.93,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
397,Ternate,ID,83.28,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
398,Iturama,BR,69.67,clear sky,-19.7281,-50.1956,República DominaCana
401,Birjand,IR,72.07,clear sky,32.8663,59.2211,Birjand Tourist Hotel
404,Orodara,BF,70.2,overcast clouds,10.9492,-4.9342,Bkf Orodara
407,Mpulungu,ZM,64.02,clear sky,-8.7623,31.1141,Chela moche guest house
408,Kismayo,SO,75.02,light rain,-0.3582,42.5454,Agan-Hotel
410,Kapit,MY,79.48,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
414,Kutum,SD,79.39,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
415,Acapulco,MX,82.51,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
416,Yinchuan,CN,75.16,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
418,Makakilo City,US,82.72,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
422,Carauari,BR,73.35,moderate rain,-4.8828,-66.8958,Hotel Fellip
424,Fairview,US,77.36,clear sky,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
425,Baruun-Urt,MN,67.66,overcast clouds,46.6806,113.2792,Ахмадын амралт сувилал
426,Kununurra,AU,67.98,clear sky,-15.7667,128.7333,Hotel Kununurra
427,Tukrah,LY,78.13,clear sky,32.5341,20.5791,Lagrota restaurant
428,Mamallapuram,IN,82.45,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
429,Camacha,PT,63.82,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
430,Sampit,ID,79.5,scattered clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
431,Acarau,BR,78.4,overcast clouds,-2.8856,-40.12,castelo pizzaria
434,Elizabeth City,US,79.0,scattered clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
438,Najran,SA,84.85,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
439,Bada,RU,65.19,few clouds,51.392,109.8717,Kafe Gostinitsa
440,Villa Carlos Paz,AR,74.48,clear sky,-31.4241,-64.4978,Monte Carlo vcp
441,Ugento,IT,69.46,clear sky,39.9263,18.1574,Porta Paradiso
442,Komsomolskiy,UZ,75.92,broken clouds,40.4272,71.7189,Ikathouse
443,Abha,SA,64.22,scattered clouds,18.2164,42.5053,Abha Hotel
446,Olga,RU,75.88,clear sky,43.7444,135.2892,Gostinitsa Rosmorport.
448,Trincomalee,LK,81.5,overcast clouds,8.5711,81.2335,Welcombe Hotel
449,Dongying,CN,81.3,overcast clouds,37.4564,118.4856,Wanda Realm
