City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Port Shepstone,ZA,2022-07-05 00:16:47,-30.7414,30.455,62.8,82,53,6.58
179,Rio Gallegos,AR,2022-07-05 00:16:47,-51.6226,-69.2181,24.85,93,0,3.44
180,Faanui,PF,2022-07-05 00:16:47,-16.4833,-151.75,79.36,72,38,9.19
181,Tocopilla,CL,2022-07-05 00:16:48,-22.092,-70.1979,63.48,69,97,8.93
182,Noyabrsk,RU,2022-07-05 00:16:48,63.1994,75.4507,48.92,67,97,8.32
183,Lukang,TW,2022-07-05 00:16:49,24.0567,120.4352,86.41,68,100,13.11
184,Rawlins,US,2022-07-05 00:16:49,41.7911,-107.2387,82.29,21,0,19.57
185,Itaituba,BR,2022-07-05 00:16:31,-4.2761,-55.9836,76.21,82,82,1.14
186,Caravelas,BR,2022-07-05 00:17:49,-17.7125,-39.2481,69.55,88,2,4.81
187,Heihe,CN,2022-07-05 00:17:50,50.2441,127.4902,75.78,77,74,6.15
188,Kajaani,FI,2022-07-05 00:15:00,64.2273,27.7285,53.65,87,0,2.3
189,Isangel,VU,2022-07-05 00:17:50,-19.55,169.2667,79.29,72,18,16.31
190,Zhezkazgan,KZ,2022-07-05 00:17:51,47.8043,67.7144,51.78,93,20,11.18
191,Umm Lajj,SA,2022-07-05 00:17:51,25.0213,37.2685,83.97,60,29,1.74
192,Sitka,US,2022-07-05 00:17:52,57.0531,-135.33,67.89,68,0,5.75
193,Agadez,NE,2022-07-05 00:13:27,19.75,10.25,86.88,11,0,4.03
194,Codrington,AU,2022-07-05 00:17:52,-38.2667,141.9667,53.58,74,9,7.09
195,Fengzhen,CN,2022-07-05 00:17:53,40.4394,113.1536,70.39,64,59,8.55
196,Santa Maria,BR,2022-07-05 00:17:53,-29.6842,-53.8069,67.89,82,62,1.63
197,Suruc,TR,2022-07-05 00:17:54,36.9761,38.425,79.16,17,0,7.14
198,Oistins,BB,2022-07-05 00:17:54,13.0667,-59.5333,80.69,78,40,16.11
199,Biak,ID,2022-07-05 00:17:55,-0.9131,122.8766,78.53,80,86,5.35
200,Kavaratti,IN,2022-07-05 00:17:55,10.5669,72.642,81.1,80,88,24.49
201,Sijunjung,ID,2022-07-05 00:17:56,-0.6876,100.9537,72.21,89,96,1.77
202,Port Elizabeth,ZA,2022-07-05 00:17:56,-33.918,25.5701,53.31,99,0,6.91
203,Sorland,NO,2022-07-05 00:17:56,67.667,12.6934,55.26,91,100,1.77
204,Zvishavane,ZW,2022-07-05 00:17:57,-20.3267,30.0665,55.24,72,0,1.52
205,Anaconda,US,2022-07-05 00:17:57,46.1285,-112.9423,61.79,36,99,13.4
206,Mahebourg,MU,2022-07-05 00:17:58,-20.4081,57.7,70.09,78,40,14.97
207,Auki,SB,2022-07-05 00:17:59,-8.7676,160.7034,84.0,68,38,5.3
208,Huejuquilla El Alto,MX,2022-07-05 00:17:59,22.6,-103.8667,79.7,38,75,1.72
209,Saint-Augustin,CA,2022-07-05 00:17:59,51.226,-58.6502,55.2,51,90,14.76
210,Oktyabrskoye,RU,2022-07-05 00:18:00,43.0645,44.7417,55.35,82,0,6.71
211,Clyde River,CA,2022-07-05 00:18:00,70.4692,-68.5914,37.63,87,100,19.57
212,Baft,IR,2022-07-05 00:18:01,29.234,56.6057,72.84,37,97,5.48
213,Jinchang,CN,2022-07-05 00:18:01,38.4953,102.1739,73.22,28,58,7.52
214,Pervomayskoye,RU,2022-07-05 00:18:01,43.919,46.7102,72.19,42,33,12.82
215,Arenillas,ES,2022-07-05 00:18:02,41.3471,-2.8462,59.92,76,1,6.93
216,Marietta,US,2022-07-05 00:18:02,33.9526,-84.5499,89.19,72,75,6.91
217,Trenggalek,ID,2022-07-05 00:18:02,-8.05,111.7167,77.58,91,82,0.13
218,Khasan,RU,2022-07-05 00:18:03,42.4308,130.6434,64.26,95,98,6.08
219,Muros,ES,2022-07-05 00:18:03,42.7762,-9.0603,66.09,78,5,14.5
220,Heide,DE,2022-07-05 00:18:04,54.2,9.1,57.85,81,37,9.95
221,Port Macquarie,AU,2022-07-05 00:16:49,-31.4333,152.9167,58.89,94,75,5.75
222,Amapa,BR,2022-07-05 00:13:21,1.0,-52.0,71.98,94,69,2.66
223,Bakchar,RU,2022-07-05 00:18:05,57.0186,82.0711,57.11,85,93,5.23
224,Phuket,TH,2022-07-05 00:18:05,8.0,98.25,85.12,71,20,9.22
225,Hami,CN,2022-07-05 00:18:06,42.8,93.45,82.17,13,7,10.54
226,Baculin,PH,2022-07-05 00:18:06,7.4525,126.5842,82.94,74,91,2.35
227,Coihaique,CL,2022-07-05 00:18:06,-45.5752,-72.0662,34.41,93,100,0.0
228,Andijon,UZ,2022-07-05 00:18:07,40.7821,72.3442,78.08,24,6,0.65
229,Genhe,CN,2022-07-05 00:18:07,50.7833,121.5167,75.24,73,83,5.06
230,Ust-Tsilma,RU,2022-07-05 00:18:07,65.441,52.1498,61.03,71,19,4.63
231,Fuerte,PH,2022-07-05 00:18:08,17.5381,120.3644,85.1,72,99,3.94
232,Noumea,NC,2022-07-05 00:18:08,-22.2763,166.4572,82.38,99,69,6.49
233,Lieksa,FI,2022-07-05 00:18:09,63.3167,30.0167,63.1,80,87,6.53
234,Alugan,PH,2022-07-05 00:19:09,12.2188,125.4808,81.88,70,99,3.29
235,Kommunisticheskiy,RU,2022-07-05 00:19:10,61.6789,64.4819,47.62,68,100,3.15
236,San Jeronimo,PE,2022-07-05 00:19:10,-11.9472,-75.2829,50.0,64,92,3.78
237,Geraldton,AU,2022-07-05 00:19:11,-28.7667,114.6,52.21,50,100,19.57
238,Lalmohan,BD,2022-07-05 00:19:11,22.3384,90.7419,82.49,85,99,15.46
239,La Libertad,EC,2022-07-05 00:19:12,-2.2333,-80.9,68.9,82,99,11.07
240,Mount Pleasant,US,2022-07-05 00:15:06,32.7941,-79.8626,82.38,91,75,1.99
241,Vetluzhskiy,RU,2022-07-05 00:19:13,58.3902,45.4654,51.06,84,100,2.39
242,Tuktoyaktuk,CA,2022-07-05 00:19:13,69.4541,-133.0374,84.2,37,40,10.36
243,Pisco,PE,2022-07-05 00:19:14,-13.7,-76.2167,63.01,77,20,9.22
244,North Bend,US,2022-07-05 00:19:14,43.4065,-124.2243,68.92,81,75,8.05
245,Los Llanos De Aridane,ES,2022-07-05 00:19:14,28.6585,-17.9182,65.95,88,20,16.11
246,Itoman,JP,2022-07-05 00:15:32,26.1247,127.6694,86.38,84,40,12.66
247,Sao Jose Da Coroa Grande,BR,2022-07-05 00:19:15,-8.8978,-35.1478,75.09,85,47,14.92
248,Touros,BR,2022-07-05 00:19:16,-5.1989,-35.4608,74.79,90,52,11.45
249,Luang Prabang,LA,2022-07-05 00:19:16,19.8856,102.1347,75.83,97,100,0.83
250,Ketchikan,US,2022-07-05 00:19:16,55.3422,-131.6461,68.38,72,53,4.43
251,Carnarvon,AU,2022-07-05 00:19:17,-24.8667,113.6333,61.88,32,0,8.1
252,Paita,PE,2022-07-05 00:19:17,-5.0892,-81.1144,64.69,82,78,18.43
253,Petropavlovsk-Kamchatskiy,RU,2022-07-05 00:19:17,53.0452,158.6483,57.79,100,100,6.71
254,Challans,FR,2022-07-05 00:19:18,46.8436,-1.8749,58.12,82,0,12.75
255,Manitowoc,US,2022-07-05 00:18:23,44.0667,-87.8001,73.29,96,100,5.75
256,Vardo,NO,2022-07-05 00:19:19,70.3705,31.1107,48.18,100,100,2.3
257,Urumqi,CN,2022-07-05 00:19:19,43.801,87.6005,72.55,33,0,4.47
258,Archidona,ES,2022-07-05 00:19:20,37.0965,-4.3887,73.9,32,65,0.63
259,Lima,PE,2022-07-05 00:17:42,-12.0432,-77.0282,60.91,83,100,9.22
260,Pangnirtung,CA,2022-07-05 00:19:21,66.1451,-65.7125,54.03,52,100,1.32
261,Kodiak,US,2022-07-05 00:19:21,57.79,-152.4072,58.51,82,100,5.75
262,Diapaga,BF,2022-07-05 00:19:21,12.0708,1.7889,81.63,63,99,7.85
263,Gat,IL,2022-07-05 00:19:22,31.61,34.7642,76.41,75,0,2.73
264,Neckarsulm,DE,2022-07-05 00:19:22,49.1928,9.2261,62.98,63,46,2.44
265,Krasnogorskoye,RU,2022-07-05 00:19:23,52.2953,86.1979,58.82,70,94,3.24
266,Katete,UG,2022-07-05 00:19:23,-0.7818,29.7544,58.82,57,39,3.78
267,Tsalka,GE,2022-07-05 00:19:24,41.5946,44.0891,49.46,89,56,2.15
268,Paamiut,GL,2022-07-05 00:19:24,61.994,-49.6678,42.55,91,100,11.41
269,Madzhalis,RU,2022-07-05 00:19:25,42.1217,47.8333,63.19,55,0,8.48
270,Gondar,ET,2022-07-05 00:19:25,12.6,37.4667,57.11,87,100,3.49
271,Saint Anthony,US,2022-07-05 00:19:25,45.0205,-93.218,85.62,61,40,6.91
272,Huaicheng,CN,2022-07-05 00:19:26,23.9051,112.1931,79.03,94,99,1.45
273,Wanning,CN,2022-07-05 00:19:26,18.8003,110.3967,82.96,84,100,6.04
274,High Level,CA,2022-07-05 00:15:33,58.5169,-117.136,71.71,40,40,8.05
275,Bengkulu,ID,2022-07-05 00:19:26,-3.8004,102.2655,75.69,89,78,4.27
276,Naze,JP,2022-07-05 00:19:27,28.3667,129.4833,81.52,81,88,10.85
277,Oussouye,SN,2022-07-05 00:19:27,12.485,-16.5469,79.65,82,99,3.91
278,Sharjah,AE,2022-07-05 00:19:02,25.3573,55.4033,94.98,49,0,10.36
279,Manta,EC,2022-07-05 00:19:28,-0.95,-80.7333,73.18,83,40,12.66
280,Norman Wells,CA,2022-07-05 00:19:28,65.282,-126.8329,82.44,28,75,18.41
281,Dondo,MZ,2022-07-05 00:19:29,-19.6094,34.7431,62.11,95,0,1.52
282,Korla,CN,2022-07-05 00:19:29,41.7597,86.1469,83.1,21,0,4.18
283,Cockburn Town,TC,2022-07-05 00:19:30,21.4612,-71.1419,80.56,78,75,17.27
284,Burnie,AU,2022-07-05 00:20:30,-41.0667,145.9167,55.94,60,5,3.58
285,Maine-Soroa,NE,2022-07-05 00:20:30,13.2114,12.0241,83.46,57,36,12.28
286,Havre-Saint-Pierre,CA,2022-07-05 00:20:31,50.2334,-63.5986,52.16,82,75,12.66
287,Pimentel,PE,2022-07-05 00:20:31,-6.8367,-79.9342,63.14,83,73,12.97
288,Naryan-Mar,RU,2022-07-05 00:20:31,67.6713,53.087,55.85,87,93,7.61
289,Westport,US,2022-07-05 00:20:25,41.1415,-73.3579,78.28,59,0,10.36
290,Enid,US,2022-07-05 00:20:32,36.3956,-97.8784,98.02,34,0,19.57
291,Ankang,CN,2022-07-05 00:20:33,32.68,109.0172,80.24,78,0,0.72
292,Fortuna,US,2022-07-05 00:20:33,40.5982,-124.1573,68.94,90,75,1.99
